round,name,score,score_sum,,s2_round,s2_name,s2_score,s2_score_sum,,s3_round,s3_name,s3_score,s3_score_sum
,,,,,54,sam,0,415,,,,,
,,,,,55,andy,11,404,,,,,
,,,,,55,david,11,420,,,,,
,,,,,55,ed,13,414,,,,,
,,,,,55,jack,13,462,,,,,
,,,,,55,jake,17,452,,,,,
,,,,,55,james,10,465,,,,,
,,,,,55,jonnie,8,482,,,,,
,,,,,55,josh,10,421,,,,,
,,,,,55,sam,0,415,,,,,
