round,name,score,score_sum,,s2_round,s2_name,s2_score,s2_score_sum,,s3_round,s3_name,s3_score,s3_score_sum
16,james,4,155,,13,andy,6,91,,11,sam,6,87
16,jonnie,4,133,,13,david,8,118,,11,tom,9,94
16,josh,6,71,,13,ed,0,84,,12,andy,11,124
16,sam,2,118,,13,jack,8,101,,12,david,10,110
17,andy,4,153,,13,jake,11,114,,12,ed,10,129
17,david,16,158,,13,james,6,114,,12,jack,10,108
17,jake,4,138,,13,jonnie,11,110,,12,jake,12,113
17,james,4,159,,13,josh,11,98,,12,james,11,120
17,jonnie,6,139,,13,sam,8,110,,12,jonnie,10,121
17,josh,11,82,,14,andy,7,98,,12,josh,10,132
17,sam,9,127,,14,david,6,124,,12,sam,10,97
18,andy,6,159,,14,ed,11,95,,12,tom,10,104
18,david,7,165,,14,jack,6,107,,13,andy,6,130
18,jake,8,146,,14,jake,6,120,,13,david,9,119
18,james,8,167,,14,james,11,125,,13,ed,9,138
18,jonnie,6,145,,14,jonnie,9,119,,13,jack,17,125
18,josh,6,88,,14,josh,6,104,,13,jake,12,125
18,sam,6,133,,14,sam,6,116,,13,james,4,124
19,andy,8,167,,15,andy,6,104,,13,jonnie,11,132
19,david,13,178,,15,david,4,128,,13,josh,17,149
19,jake,10,156,,15,ed,4,99,,13,sam,7,104
19,james,16,183,,15,jack,10,117,,13,tom,4,108
19,jonnie,8,153,,15,jake,6,126,,14,andy,14,144
19,josh,19,107,,15,james,6,131,,14,david,4,123
19,sam,18,151,,15,jonnie,8,127,,14,ed,9,147
20,andy,4,171,,15,josh,10,114,,14,jack,6,131
20,david,6,184,,15,sam,8,124,,14,jake,9,134
20,jake,8,164,,16,andy,4,108,,14,james,6,130
20,james,13,196,,16,david,4,132,,14,jonnie,9,141
20,jonnie,6,159,,16,ed,2,101,,14,josh,9,158
20,josh,11,118,,16,jack,9,126,,14,sam,8,112
20,sam,13,164,,16,jake,4,130,,14,tom,9,117
21,andy,5,176,,16,james,4,135,,15,andy,10,154
21,david,2,186,,16,jonnie,2,129,,15,david,2,125
21,jake,2,166,,16,josh,2,116,,15,ed,4,151
21,james,2,198,,16,sam,2,126,,15,jack,9,140
21,jonnie,2,161,,17,andy,19,127,,15,jake,9,143
21,josh,2,120,,17,david,12,144,,15,james,7,137
21,sam,4,168,,17,ed,14,115,,15,jonnie,4,145
22,andy,10,186,,17,jack,17,143,,15,josh,6,164
22,david,14,200,,17,jake,11,141,,15,sam,6,118
22,jake,8,174,,17,james,6,141,,15,tom,6,123
22,james,15,213,,17,jonnie,17,146,,16,andy,4,158
22,jonnie,15,176,,17,josh,8,124,,16,david,2,127
22,josh,11,131,,17,sam,14,140,,16,ed,4,155
22,sam,11,179,,18,andy,6,133,,16,jack,2,142
23,andy,0,186,,18,david,4,148,,16,jake,2,145
23,david,9,209,,18,ed,8,123,,16,james,4,141
23,jake,6,180,,18,jack,6,149,,16,jonnie,4,149
23,james,9,222,,18,jake,12,153,,16,josh,2,166
23,jonnie,9,185,,18,james,8,149,,16,sam,2,120
23,josh,4,135,,18,jonnie,6,152,,16,tom,4,127
23,sam,2,181,,18,josh,6,130,,17,andy,14,172
24,andy,4,190,,18,sam,6,146,,17,david,10,137
24,david,6,215,,19,andy,9,142,,17,ed,4,159
24,jake,6,186,,19,david,6,154,,17,jack,7,149
24,james,12,234,,19,ed,8,131,,17,jake,7,152
24,jonnie,6,191,,19,jack,11,160,,17,james,6,147
24,josh,4,139,,19,jake,4,157,,17,jonnie,9,158
24,sam,15,196,,19,james,9,158,,17,josh,4,170
25,andy,4,194,,19,jonnie,8,160,,17,sam,4,124
25,david,4,219,,19,josh,11,141,,17,tom,9,136
25,jake,4,190,,19,sam,8,154,,18,andy,4,176
25,james,4,238,,20,andy,6,148,,18,david,4,141
25,jonnie,4,195,,20,david,8,162,,18,ed,9,168
25,josh,7,146,,20,ed,13,144,,18,jack,9,158
25,sam,9,205,,20,jack,6,166,,18,jake,4,156
26,andy,11,205,,20,jake,8,165,,18,james,9,156
26,david,8,227,,20,james,6,164,,18,jonnie,14,172
26,jake,8,198,,20,jonnie,6,166,,18,josh,4,174
26,james,13,251,,20,josh,6,147,,18,sam,11,135
26,jonnie,10,205,,20,sam,8,162,,18,tom,9,145
26,josh,8,154,,21,andy,13,161,,19,andy,0,176
26,sam,8,213,,21,david,6,168,,19,david,6,147
27,andy,9,214,,21,ed,6,150,,19,ed,8,176
27,david,4,231,,21,jack,11,177,,19,jack,8,166
27,jake,9,207,,21,jake,6,171,,19,jake,4,160
27,james,11,262,,21,james,4,168,,19,james,4,160
27,jonnie,13,218,,21,jonnie,4,170,,19,jonnie,6,178
27,josh,9,163,,21,josh,4,151,,19,josh,0,174
27,sam,8,221,,21,sam,6,168,,19,sam,6,141
28,andy,0,214,,22,andy,6,167,,19,tom,8,153
28,david,2,233,,22,david,6,174,,20,andy,10,186
28,jake,2,209,,22,ed,9,159,,20,david,8,155
28,james,4,266,,22,jack,11,188,,20,ed,10,186
28,jonnie,2,220,,22,jake,11,182,,20,jack,8,174
28,josh,2,165,,22,james,14,182,,20,jake,21,181
28,sam,2,223,,22,jonnie,9,179,,20,james,10,170
29,andy,7,221,,22,josh,14,165,,20,jonnie,15,193
29,david,17,250,,22,sam,8,176,,20,josh,8,182
29,jake,10,219,,23,andy,6,173,,20,sam,8,149
29,james,4,270,,23,david,4,178,,20,tom,10,163
29,jonnie,9,229,,23,ed,2,161,,21,andy,13,199
29,josh,4,169,,23,jack,2,190,,21,david,6,161
29,sam,6,229,,23,jake,6,188,,21,ed,11,197
30,andy,10,231,,23,james,4,186,,21,jack,10,184
30,david,4,254,,23,jonnie,2,181,,21,jake,8,189
30,jake,4,223,,23,josh,7,172,,21,james,6,176
30,james,6,276,,23,sam,4,180,,21,jonnie,8,201
30,jonnie,4,233,,24,andy,6,179,,21,josh,8,190
30,josh,6,175,,24,david,4,182,,21,sam,10,159
30,sam,9,238,,24,ed,11,172,,21,tom,8,171
31,andy,14,245,,24,jack,11,201,,22,andy,2,201
31,david,12,266,,24,jake,6,194,,22,david,2,163
31,jake,6,229,,24,james,8,194,,22,ed,4,201
31,james,7,283,,24,jonnie,16,197,,22,jack,4,188
31,jonnie,11,244,,24,josh,6,178,,22,jake,4,193
31,josh,7,182,,24,sam,8,188,,22,james,4,180
31,sam,12,250,,25,andy,4,183,,22,jonnie,4,205
32,andy,6,251,,25,david,9,191,,22,josh,4,194
32,david,4,270,,25,ed,11,183,,22,sam,6,165
32,jake,7,236,,25,jack,6,207,,22,tom,4,175
32,james,4,287,,25,jake,7,201,,23,andy,2,203
32,jonnie,12,256,,25,james,6,200,,23,david,6,169
32,josh,2,184,,25,jonnie,11,208,,23,ed,8,209
32,sam,4,254,,25,josh,8,186,,23,jack,11,199
33,andy,8,259,,25,sam,9,197,,23,jake,4,197
33,david,9,279,,26,andy,6,189,,23,james,4,184
33,jake,9,245,,26,david,11,202,,23,jonnie,8,213
33,james,5,292,,26,ed,7,190,,23,josh,8,202
33,jonnie,9,265,,26,jack,8,215,,23,sam,8,173
33,josh,9,193,,26,jake,7,208,,23,tom,6,181
33,sam,6,260,,26,james,12,212,,24,andy,2,205
34,andy,6,265,,26,jonnie,11,219,,24,david,2,171
34,david,6,285,,26,josh,7,193,,24,ed,2,211
34,jake,7,252,,26,sam,9,206,,24,jack,2,201
34,james,4,296,,27,andy,11,200,,24,jake,2,199
34,jonnie,9,274,,27,david,9,211,,24,james,9,193
34,josh,4,197,,27,ed,6,196,,24,jonnie,2,215
34,sam,4,264,,27,jack,8,223,,24,josh,0,202
35,andy,0,265,,27,jake,14,222,,24,sam,7,180
35,david,9,294,,27,james,8,220,,24,tom,2,183
35,jake,12,264,,27,jonnie,14,233,,25,andy,11,216
35,james,4,300,,27,josh,8,201,,25,david,2,173
35,jonnie,4,278,,27,sam,8,214,,25,ed,6,217
35,josh,4,201,,28,andy,6,206,,25,jack,6,207
35,sam,4,268,,28,david,6,217,,25,jake,6,205
36,andy,12,277,,28,ed,6,202,,25,james,8,201
36,david,10,304,,28,jack,11,234,,25,jonnie,6,221
36,jake,6,270,,28,jake,11,233,,25,josh,8,210
36,james,6,306,,28,james,8,228,,25,sam,6,186
36,jonnie,9,287,,28,jonnie,8,241,,25,tom,11,194
36,josh,14,215,,28,josh,6,207,,26,andy,4,220
36,sam,12,280,,28,sam,4,218,,26,david,6,179
37,andy,6,283,,29,andy,6,212,,26,ed,6,223
37,david,4,308,,29,david,8,225,,26,jack,6,213
37,jake,7,277,,29,ed,10,212,,26,jake,6,211
37,james,8,314,,29,jack,10,244,,26,james,11,212
37,jonnie,4,291,,29,jake,8,241,,26,jonnie,8,229
37,josh,4,219,,29,james,11,239,,26,josh,9,219
37,sam,9,289,,29,jonnie,10,251,,26,sam,6,192
38,andy,12,295,,29,josh,10,217,,26,tom,6,200
38,david,4,312,,29,sam,15,233,,27,andy,4,224
38,jake,2,279,,30,andy,10,222,,27,david,13,192
38,james,7,321,,30,david,10,235,,27,ed,6,229
38,jonnie,7,298,,30,ed,6,218,,27,jack,13,226
38,josh,5,224,,30,jack,11,255,,27,jake,6,217
38,sam,6,295,,30,jake,8,249,,27,james,11,223
39,andy,4,299,,30,james,10,249,,27,jonnie,9,238
39,david,9,321,,30,jonnie,11,262,,27,josh,9,228
39,jake,6,285,,30,josh,11,228,,27,sam,12,204
39,james,10,331,,30,sam,8,241,,27,tom,9,209
39,jonnie,10,308,,31,andy,6,228,,28,andy,6,230
39,josh,8,232,,31,david,4,239,,28,david,4,196
39,sam,13,308,,31,ed,4,222,,28,ed,4,233
40,andy,13,312,,31,jack,13,268,,28,jack,4,230
40,david,8,329,,31,jake,10,259,,28,jake,9,226
40,jake,11,296,,31,james,9,258,,28,james,4,227
40,james,11,342,,31,jonnie,11,273,,28,jonnie,4,242
40,jonnie,11,319,,31,josh,9,237,,28,josh,14,242
40,josh,16,248,,31,sam,4,245,,28,sam,4,208
40,sam,8,316,,32,andy,6,234,,28,tom,4,213
41,andy,0,312,,32,david,8,247,,29,andy,10,240
41,david,6,335,,32,ed,8,230,,29,david,13,209
41,jake,7,303,,32,jack,0,268,,29,ed,8,241
41,james,4,346,,32,jake,6,265,,29,jack,11,241
41,jonnie,2,321,,32,james,11,269,,29,jake,11,237
